"Season","Name","Team","G","PA","HR","R","RBI","SB","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","H","1B","2B","3B","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","wOBA","wRAA","wRC","playerid","mlbamid"
"1927","Oscar Charleston","HBG","69","299","13","68","74","21",".294","",".399",".502",".694",".530","199","3.5","44.8","2.3","5.6","99","59","20","7","49","","","2","","6","","21","",".530","44.7","83","1014838",""
"1923","Heavy Johnson","KCM","98","420","20","91","120","17",".316","",".406",".471",".722",".528","197","3.9","61.2","-11.2","6.0","152","87","32","13","38","","","8","","9","","17","",".528","61.9","117","1015593",""
"1925","John Beckwith","BBS","50","207","15","47","64","3",".333","",".404",".473",".738",".527","200","0.7","30.3","2.5","3.6","74","44","14","1","24","","","","","3","","3","",".527","30.9","59","1014583",""
"1894","Hugh Duffy","BSN","125","606","18","160","145","48",".254",".433",".440",".502",".694",".526","169","2.6","82.4","-4.0","7.5","237","152","51","16","66","","15","1","","","","48","",".526","89.9","201","1003533","113598"
"1931","Babe Ruth","NYY","145","663","46","149","163","5",".328",".350",".373",".495",".700",".526","205","-1.2","94.2","-8.2","10.7","199","119","31","3","128","","51","1","","0","","5","4",".526","99.2","182","1011327","121578"
"1946","Ted Williams","BOS","150","672","38","142","123","0",".325",".319",".342",".497",".667",".526","211","-0.8","87.8","-2.5","11.6","176","93","37","8","156","","44","2","","0","12","0","0",".526","96.8","170","1014040","124341"
"1932","Jimmie Foxx","PHA","154","701","58","151","169","3",".385",".360",".364",".469",".749",".525","194","-3.2","91.9","-0.9","11.3","213","113","33","9","116","","96","0","","0","","3","7",".525","107.8","196","1004285","114367"
"1887","Tip O'Neill","STL","124","572","14","167","123","30",".255","",".435",".490",".691",".525","191","-5.3","83.9","-5.7","8.2","225","140","52","19","50","","","5","","","","30","",".525","96.4","190","1009821","120022"
"1957","Ted Williams","BOS","132","546","38","96","87","0",".343",".367",".388",".526",".731",".524","223","0.1","79.0","-3.4","9.7","163","96","28","1","119","33","43","5","2","0","11","0","1",".524","87.3","148","1014040","124341"
"1929","Rap Dixon","BBS","76","313","16","77","92","22",".307","",".415",".482",".722",".524","179","3.8","43.2","8.3","5.9","115","69","23","7","33","","","3","","7","","22","",".524","45.7","89","1015054",""
"1933","Josh Gibson","PC","68","258","18","61","74","4",".349","",".395",".442",".744",".524","211","0.6","37.1","-1.2","4.6","94","54","15","7","20","","","0","","4","","4","",".524","38.7","69","1015243",""
"1942","Ted Williams","BOS","150","671","36","141","137","3",".291",".345",".356",".499",".648",".524","205","-1.0","86.1","-1.5","11.5","186","111","34","5","145","","51","4","","0","12","3","2",".524","97.4","171","1014040","124341"
"1943","Tetelo Vargas","NYC","30","136","0","34","18","3",".116","",".471",".529",".587",".523","189","0.4","16.4","-2.2","2.1","57","47","6","4","15","","","0","0","0","","3","",".523","19.2","34","1016630",""
"1948","Willard Brown","KCM","46","197","7","43","54","8",".276","",".408",".477",".684",".521","204","1.4","27.7","-3.3","3.1","71","39","23","2","22","","","1","","0","","8","",".521","27.9","52","1001569","111600"
"1927","George Scales","NLG","28","114","2","25","30","4",".204","",".419",".526",".624",".521","194","0.5","15.5","-4.7","1.4","39","25","11","1","20","","","1","","1","","4","",".521","16.2","31","1016348",""
"1944","Bob Harvey","NE","27","107","3","21","21","2",".240","",".430",".467",".670",".521","192","0.3","13.3","-4.2","1.4","43","27","11","2","7","0","","0","","2","","2","",".521","15.3","27","1015385",""
"1928","Cecil Johnson","PTG","7","28","1","6","4","1",".238","",".381",".536",".619",".520","190","0.1","3.7","-2.3","0.2","8","5","2","0","7","","","0","","0","","1","",".520","4.0","8","1015586",""
