"Season","Name","Team","G","PA","HR","R","RBI","SB","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","H","1B","2B","3B","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","wOBA","wRAA","wRC","playerid","mlbamid"
"1891","Cupid Childs","CLE","141","655","2","120","83","39",".093",".296",".281",".395",".374",".382","122","0.1","21.8","-5.4","3.4","155","120","21","12","97","","32","7","","","","39","",".382","26.5","122","1002186","112242"
"1946","Vern Stephens","SLB","115","488","14","67","64","0",".153",".320",".307",".357",".460",".382","121","-0.8","11.2","-2.1","2.8","138","101","19","4","35","","49","0","","3","12","0","1",".382","19.0","72","1012501","122749"
"1933","Sam West","SLB","133","582","11","93","48","10",".159",".315",".300",".373",".458",".382","112","-1.7","7.7","-1.6","2.8","155","107","25","12","59","","49","1","","5","","10","8",".382","23.6","93","1013813","124111"
"1940","Bobby Doerr","BOS","151","658","22","87","105","10",".207",".290",".291",".353",".497",".382","112","-0.7","10.5","0.5","3.4","173","104","37","10","57","","53","0","","6","16","10","5",".382","25.2","107","1003355","113419"
"1930","Jim Bottomley","STL","131","560","15","92","97","5",".189",".305",".304",".368",".493",".382","104","0.6","4.0","-11.4","1.1","148","93","33","7","44","","36","5","","24","","5","",".382","14.8","94","1001228","111266"
"1927","Charlie Gehringer","DET","133","571","4","110","61","17",".124",".332",".317",".383",".441",".382","111","-1.2","7.9","8.7","3.7","161","117","29","11","52","","31","2","","9","","17","8",".382","17.6","90","1004596","114682"
"1918","Sherry Magee","CIN","115","456","2","46","76","14",".118",".308",".298",".370",".415",".382","142","0.1","19.5","-8.8","2.9","119","89","15","13","37","","18","9","","10","","14","",".382","19.6","64","1007965","118135"
"1936","Goose Curry","WEG","45","202","2","40","26","2",".088","",".300",".411",".388",".382","111","0.2","3.5","-11.3","-0.1","51","42","5","2","32","","","0","","5","","2","",".382","5.4","32","1014954",""
"1944","Ken Keltner","CLE","149","632","13","74","91","4",".171",".294",".295",".355",".466",".382","136","-0.9","25.6","9.0","5.8","169","106","41","9","53","","29","0","","6","23","4","3",".382","26.0","96","1006821","116966"
"1956","Larry Doby","CHW","140","619","24","89","102","0",".198",".292",".268",".392",".466",".382","127","0.0","21.5","4.2","4.7","135","86","22","3","102","6","105","4","5","4","7","0","1",".382","27.7","99","1003346","113411"
"1995","Jay Buhner","SEA","126","539","40","86","121","0",".304",".263",".262",".343",".566",".382","127","-0.5","18.1","-9.8","2.6","123","60","23","0","60","7","120","1","6","2","15","0","1",".382","22.0","89","1001638","111676"
"1902","Jimmy Barrett","DET","136","594","4","93","44","24",".084","",".303",".397",".387",".382","119","-0.1","14.9","1.6","3.9","154","125","19","6","74","","","6","","5","","24","",".382","26.1","96","1000596","110613"
"1993","Travis Fryman","DET","151","695","22","98","97","9",".186",".346",".300",".379",".486",".382","132","0.3","27.6","-5.0","4.5","182","118","37","5","77","1","128","4","6","1","8","9","4",".382","31.1","114","385","114465"
"1896","Mike Griffin","BRO","122","556","4","101","51","23",".116",".319",".308",".380",".424",".382","116","-1.1","13.5","2.0","3.3","152","112","27","9","48","","25","9","","6","","23","",".382","13.4","99","1005047","115143"
"1915","Larry Doyle","NYG","150","641","4","86","70","22",".122",".331",".320",".358",".442",".382","143","-2.5","26.4","-8.0","4.7","189","135","40","10","32","","28","3","","15","","22","18",".382","27.8","94","1003467","113531"
"1895","Buck Ewing","CIN","105","467","5","90","94","34",".150",".327",".318",".363",".468",".382","104","2.9","6.2","1.0","2.1","138","96","24","13","30","","22","1","","2","","34","",".382","8.8","86","1003881","113959"
"1904","Willie Keeler","NYH","143","612","2","78","40","21",".066","",".343",".390",".409",".382","141","-0.9","25.5","-5.0","4.5","186","162","14","8","35","","","7","","27","","21","",".382","33.3","96","1006747","116891"
"2005","Gary Sheffield","NYY","154","675","34","104","123","10",".221",".284",".291",".379",".512",".382","137","4.7","35.5","-34.1","2.4","170","109","27","0","78","7","76","8","5","0","11","10","2",".382","31.4","112","114","122111"
"1944","Pinky Higgins","DET","148","640","7","79","76","4",".112",".307",".297",".392",".409",".382","125","-1.4","17.5","0.0","4.1","161","118","32","4","81","","34","4","","12","17","4","4",".382","26.2","98","1005793","115911"
"1914","Jack Dalton","BRO","128","515","1","65","45","19",".072",".348",".319",".396",".391",".382","132","1.8","19.8","-7.0","3.1","141","119","13","8","53","","39","3","","17","","19","",".382","21.6","75","1002951","113017"
"1937","Dixie Walker","CHW","154","688","9","105","95","1",".147",".305",".302",".383",".449",".382","107","-1.5","5.8","-6.7","2.4","179","126","28","16","78","","26","0","","17","","1","2",".382","22.3","112","1013512","123820"
"1911","Frank LaPorte","SLB","136","563","2","71","82","4",".132","",".314",".361",".446",".382","123","-3.1","13.1","-3.9","3.0","159","108","37","12","34","","","4","","18","","4","",".382","19.0","86","1007340","117497"
"1971","Roy White","NYY","147","634","19","86","84","14",".177",".294",".292",".388",".469",".382","145","0.4","31.8","2.0","5.8","153","105","22","7","86","7","66","7","17","0","10","14","7",".382","33.2","98","1013890","124186"
"1920","Sam Rice","WAS","153","686","3","83","80","63",".090",".348",".338",".381",".428",".382","116","1.8","16.4","3.2","4.5","211","170","29","9","39","","23","4","","19","","63","30",".382","25.1","104","1010900","121137"
"1946","Rudy York","BOS","154","669","17","78","119","3",".161",".305",".276",".371",".437",".382","122","-0.8","17.0","-7.7","3.5","160","107","30","6","86","","93","1","","3","16","3","2",".382","25.9","99","1014354","124678"
"1951","Yogi Berra","NYY","141","594","27","92","88","5",".197",".268",".294",".350",".492",".382","128","-0.2","20.4","12.7","5.3","161","111","19","4","44","","20","3","","0","16","5","4",".382","21.1","91","1000898","110925"
"1935","Odell Hale","CLE","150","648","16","80","101","15",".182",".315",".304",".361",".486",".382","114","-3.4","9.3","7.8","3.8","179","115","37","11","52","","55","1","","6","","15","13",".382","20.8","105","1005224","115324"
"1940","Taffy Wright","CHW","147","627","5","79","88","4",".110",".347",".337",".385",".448",".382","116","-2.9","10.8","-6.2","2.7","196","151","31","9","43","","25","2","","1","9","4","7",".382","23.9","101","1014296","124613"
"1915","Ward Miller","SLT","154","646","1","80","63","33",".075",".329",".306",".400",".381",".382","128","6.1","26.1","-1.6","4.6","164","135","19","9","79","","39","5","","26","","33","",".382","27.9","94","1008939","119128"
"1949","Elbie Fletcher","BSN","122","518","11","57","51","1",".140",".288",".262",".396",".402",".382","124","0.1","15.8","-8.2","2.4","108","75","19","3","84","","65","8","","13","10","1","",".382","15.5","77","1004150","114235"
"1905","Roy Thomas","PHI","147","675","0","118","31","23",".041","",".317",".417",".358",".382","134","-2.0","25.1","4.4","5.8","178","161","11","6","93","","","4","","16","","23","",".382","34.0","105","1012992","123262"
"1891","Cap Anson","CHI","136","616","8","81","120","17",".119",".296",".291",".378",".409",".382","123","-3.2","17.8","5.1","4.1","157","117","24","8","75","","29","1","","","","17","",".382","24.8","115","1000272","110284"
"1901","Tom Daly","BRO","133","576","3","88","90","31",".129","",".315",".371",".444",".382","129","2.2","24.3","-3.0","4.0","164","113","38","10","42","","","4","","10","","31","",".382","24.6","100","1002957","113023"
"2016","Paul Goldschmidt","ARI","158","705","24","106","95","32",".192",".358",".297",".411",".489",".382","133","5.2","34.2","-11.0","4.6","172","112","33","3","110","15","150","7","8","0","14","32","5",".382","37.1","120","9218","502671"
"1919","Roger Peckinpaugh","NYY","122","539","7","89","33","10",".099",".320",".305",".390",".404",".382","123","-1.3","13.1","22.5","5.9","138","109","20","2","59","","37","4","","23","","10","",".382","22.5","78","1010116","120344"
"2017","Marwin Gonzalez","HOU","134","515","23","67","90","8",".226",".343",".303",".377",".530",".382","144","0.5","28.3","0.8","4.6","138","81","34","0","49","4","99","6","2","3","8","8","3",".382","26.5","89","5497","503556"
"1909","Frank Baker","PHA","148","606","4","73","85","20",".142","",".305",".343",".447",".382","147","0.1","28.8","3.5","5.9","165","115","27","19","26","","","5","","34","","20","",".382","29.4","88","1000453","110480"
"1936","Zollie Wright","WEG","43","180","2","31","24","0",".115","",".306",".394",".420",".382","111","-0.2","2.7","-8.8","0.0","48","37","6","3","20","","","3","","4","","0","",".382","4.8","29","1016837",""
"1993","Darren Daulton","PHI","147","637","24","90","105","5",".225",".279",".257",".392",".482",".382","132","1.2","26.2","3.8","5.3","131","68","35","4","117","12","111","2","8","0","2","5","0",".382","28.4","105","1003010","113074"
"1953","Vic Wertz","SLB","128","518","19","61","70","1",".198",".263",".268",".376",".466",".382","121","-1.0","12.6","-5.9","2.4","118","75","18","6","72","","44","4","","2","13","1","4",".382","19.1","81","1013795","124102"
"1997","Chili Davis","KCR","140","567","30","71","90","6",".231",".290",".279",".386",".509",".382","128","0.0","20.0","-14.4","2.5","133","83","20","0","85","16","96","1","4","0","15","6","3",".382","23.3","93","1003041","113099"
"1979","Gene Tenace","SDP","151","582","20","61","67","2",".181",".297",".263",".403",".445",".382","144","-1.8","28.4","5.1","5.4","122","82","16","4","105","4","106","7","6","1","7","2","6",".382","26.6","95","1012911","123183"
"1944","Ray Sanders","STL","154","683","12","87","102","2",".146",".306",".295",".371",".441",".382","126","-0.2","21.4","-5.6","3.9","177","122","34","9","71","","50","2","","9","12","2","",".382","27.9","104","1011418","121671"
"1873","Jim O'Rourke","BSN","57","294","1","79","48","4",".100",".349",".350",".381",".450",".382","131","0.1","19.6","0.0","2.1","98","75","19","3","14","","1","","","","","4","2",".382","22.5","83","1009839","120054"
"1948","Hank Majeski","PHA","148","646","12","88","120","2",".144",".320",".310",".368",".454",".382","116","-0.6","13.1","0.5","3.6","183","126","41","4","48","","43","6","","2","19","2","1",".382","21.0","99","1008006","118181"
"1927","George Carr","HIL","77","320","3","37","47","3",".113","",".323",".384",".436",".382","114","0.0","6.1","-6.1","1.2","94","71","16","4","29","","","0","","4","","3","",".382","9.7","51","1014800",""
"1981","Ron Cey","LAD","85","359","13","42","50","0",".186",".312",".288",".372",".474",".382","144","-0.7","16.7","1.5","3.3","90","60","15","2","40","3","55","3","3","1","7","0","2",".382","17.8","56","1002108","112162"
"1921","Jimmy Johnston","BRO","152","689","5","104","56","28",".135",".334",".325",".372",".460",".382","119","-0.7","16.4","-0.2","4.0","203","143","41","14","45","","26","1","","19","","28","16",".382","21.0","109","1006466","116643"
"2010","Dan Uggla","FLA","159","674","33","100","105","4",".221",".330",".287",".369",".508",".382","135","0.0","28.3","-4.5","4.6","169","105","31","0","78","2","149","2","5","0","10","4","1",".382","32.7","110","3442","462564"
"1988","Dwight Evans","BOS","149","645","21","96","111","5",".193",".321",".293",".375",".487",".382","137","0.1","27.9","-16.7","3.5","164","105","31","7","76","3","99","1","7","2","16","5","1",".382","34.0","104","1003865","113936"
"1939","Willie Simms","CAG","29","131","3","15","12","4",".148","",".296",".382",".443",".382","144","0.7","7.0","-0.4","1.0","34","25","4","2","16","","","","","4","","4","",".382","4.2","21","1016393",""
"1990","Darryl Strawberry","NYM","152","621","37","92","108","15",".242",".283",".277",".361",".518",".382","141","-0.4","29.3","11.5","6.5","150","94","18","1","70","15","110","4","5","0","5","15","8",".382","30.1","100","1012606","122864"
"2022","Manny Machado","SDP","150","644","32","100","102","9",".234",".337",".298",".366",".531",".382","152","3.0","41.9","6.9","7.4","172","102","37","1","63","10","133","1","2","0","12","9","1",".382","36.8","110","11493","592518"
"1884","Frank Fennelly","- - -","90","412","4","94","0","",".169","",".311",".367",".480",".382","153","0.0","32.8","6.4","4.7","118","77","22","15","31","","","2","","","","","",".382","32.8","93","1003980","114059"
"1967","Tony Gonzalez","PHI","149","568","9","74","59","10",".134",".365",".339",".396",".472",".382","146","-0.8","27.8","1.1","5.4","172","131","23","9","47","14","58","5","5","3","9","10","9",".382","33.8","91","1004845","114925"
"1974","Rick Monday","CHC","142","617","20","84","58","7",".173",".323",".294",".375",".467",".382","130","-1.9","18.9","-28.7","1.3","158","112","19","7","70","6","94","2","3","4","4","7","9",".382","29.1","96","1009051","119246"
"1932","Joe Vosmik","CLE","153","690","10","106","97","2",".150",".323",".312",".376",".462",".382","110","-1.5","8.7","8.4","4.2","194","133","39","12","58","","42","5","","6","","2","3",".382","26.5","114","1013456","123757"
"1932","John Stone","DET","145","643","17","106","108","2",".189",".311",".297",".361",".486",".382","113","-0.6","11.0","-1.5","3.3","173","109","35","12","58","","64","0","","3","","2","1",".382","24.7","106","1012568","122828"
"1949","Wally Westlake","PIT","147","577","23","77","104","6",".208",".289",".282",".345",".490",".382","115","1.1","12.0","-2.3","2.8","148","93","24","8","45","","69","6","","1","15","6","",".382","17.1","86","1013807","124118"
"1959","Pete Runnels","BOS","147","661","6","95","57","6",".113",".336",".314",".415",".427",".382","132","-0.5","24.6","4.7","5.0","176","131","33","6","95","1","48","1","0","5","17","6","5",".382","32.6","108","1011303","121555"
"1926","Ben Taylor","BBS","53","196","1","16","23","4",".096","",".299",".403",".395",".382","122","0.4","5.8","0.8","1.3","50","39","7","3","28","","","1","","5","","4","",".382","5.6","31","1016528",""
"1949","Sam Chapman","PHA","154","674","24","89","108","3",".177",".282",".278",".367",".455",".382","115","-1.2","11.7","1.0","3.6","164","112","24","4","80","","68","2","","3","23","3","4",".382","20.0","100","1002152","112204"
"1871","John Bass","CLE","22","92","3","18","18","0",".337",".293",".303",".326",".640",".382","132","-0.8","6.3","-2.7","0.3","27","13","1","10","3","","4","","","","","0","1",".382","7.1","29","1000644","110658"
"1939","Billy Herman","CHC","156","713","7","111","70","9",".146",".315",".307",".378",".453",".382","122","1.2","21.6","-1.2","4.1","191","132","34","18","66","","31","5","","19","24","9","",".382","23.0","113","1005692","115809"
"1890","Dave Foutz","BRO","129","562","5","106","98","42",".130",".311",".303",".368",".432",".382","129","2.1","26.8","6.3","4.5","154","111","25","13","52","","25","1","","","","42","",".382","20.8","107","1004266","114346"
"1919","Ross Youngs","NYG","130","560","2","73","43","24",".104",".341",".311",".384",".415",".382","146","1.5","27.6","-3.4","4.5","152","112","31","7","51","","47","7","","13","","24","",".382","23.3","81","1014390","124717"
"1892","Bug Holliday","CIN","152","660","13","114","91","43",".156",".296",".292",".355",".449",".382","130","2.4","30.2","-3.4","4.8","176","124","23","16","57","","39","1","","","","43","",".382","32.1","120","1005957","116078"
"1983","Alan Trammell","DET","142","581","14","83","66","30",".152",".341",".319",".385",".471",".382","138","1.9","27.9","6.5","5.6","161","114","31","2","57","2","64","0","4","15","7","30","10",".382","28.2","94","1013157","123437"
"1947","Lou Boudreau","CLE","150","623","4","79","67","1",".117",".307",".307",".388",".424",".382","131","-0.3","23.4","28.1","7.3","165","113","45","3","67","","10","4","","14","9","1","0",".382","21.6","95","1001234","111272"
"1992","Lou Whitaker","DET","130","544","19","77","71","6",".183",".273",".278",".386",".461",".382","138","-0.5","22.6","1.3","4.4","126","81","26","0","81","5","46","1","4","5","9","6","4",".382","26.5","85","1013846","124154"
"1994","Matt Williams","SFG","112","483","43","74","96","1",".339",".239",".267",".319",".607",".382","133","0.2","20.8","9.0","4.5","119","57","16","3","33","7","87","2","3","0","11","1","0",".382","19.7","81","77","124326"
"2004","Ivan Rodriguez","DET","135","575","19","72","86","7",".176",".373",".334",".383",".510",".382","134","-3.2","22.0","7.1","4.7","176","123","32","2","41","6","91","3","4","0","15","7","4",".382","25.0","96","1275","121358"
"1871","Fred Treacey","CHI","25","126","4","39","33","13",".234",".330",".339",".349",".573",".381","130","-1.5","7.5","4.5","1.3","42","26","7","5","2","","5","","","","","13","5",".381","9.7","40","1013166","123447"
"1948","Leon Kellman","CBE","16","70","0","9","7","3",".054","",".286",".429",".339",".381","119","0.5","2.2","0.2","0.5","16","14","1","1","11","","","3","","1","","3","",".381","2.3","11","1015678",""
"1944","Tommy Sampson","BBB","30","122","0","18","13","1",".071","",".339",".393",".411",".381","155","0.1","6.7","9.3","2.1","38","32","4","2","7","","","3","","2","","1","",".381","5.0","19","1016333",""
"1968","Frank Robinson","BAL","130","508","15","69","52","11",".176",".302",".268",".390",".444",".381","157","1.6","30.2","-12.3","3.9","113","70","27","1","73","4","84","12","2","0","15","11","2",".381","31.3","78","1011066","121311"
"1918","Jake Daubert","BRO","108","445","2","50","47","10",".121",".319",".308",".360",".429",".381","137","-0.5","16.0","-3.2","3.1","122","93","12","15","27","","18","5","","17","","10","",".381","18.9","62","1003005","113069"
"2006","Pat Burrell","PHI","144","567","29","80","95","0",".245",".294",".258",".388",".502",".381","126","-4.8","14.6","-18.1","1.5","119","65","24","1","98","5","131","3","4","0","11","0","0",".381","24.2","95","949","150100"
"1948","Bill Nicholson","CHC","143","581","19","68","67","2",".184",".265",".261",".371",".445",".381","122","-0.1","16.3","-5.9","3.0","129","81","24","5","81","","60","5","","1","5","2","",".381","18.8","89","1009554","119774"
"1989","Harold Baines","- - -","146","583","16","73","72","0",".156",".338",".309",".395",".465",".381","140","-1.5","25.2","-21.5","2.5","156","110","29","1","73","13","79","1","4","0","15","0","3",".381","30.1","94","1000434","110456"
"1955","Dale Long","PIT","131","478","16","59","79","0",".222",".316",".291",".362",".513",".381","128","0.0","16.6","-5.3","2.5","122","74","19","13","48","6","72","1","4","6","14","0","1",".381","20.6","76","1007730","117897"
"2006","Aramis Ramirez","CHC","157","660","38","93","119","2",".269",".270",".291",".352",".561",".381","125","-4.6","17.0","-0.6","3.7","173","93","38","4","50","4","63","9","7","0","15","2","1",".381","28.1","111","1002","133380"
"1959","Harmon Killebrew","WAS","153","647","42","98","105","3",".275",".230",".242",".354",".516",".381","135","0.0","27.0","-7.4","4.0","132","68","20","2","90","1","116","7","4","0","12","3","2",".381","31.9","106","1006905","117051"
"1992","Kirby Puckett","MIN","160","696","19","104","110","17",".161",".361",".329",".374",".490",".381","136","0.5","28.9","4.2","5.9","210","149","38","4","44","13","97","6","6","1","17","17","7",".381","33.9","109","1010557","120790"
"1954","Mickey Vernon","WAS","151","673","20","90","97","1",".203",".293",".290",".357",".492",".381","131","-0.9","23.7","-12.1","3.4","173","106","33","14","61","","61","5","6","4","10","1","4",".381","25.2","101","1013416","123711"
"1914","Hal Chase","- - -","133","540","3","70","68","19",".133",".345",".314",".355",".447",".381","128","0.7","18.2","-3.0","3.8","156","110","29","14","29","","50","3","","11","","19","4",".381","22.3","79","1002163","112216"
"1959","Gene Woodling","BAL","140","524","14","63","77","1",".155",".298",".300",".402",".455",".381","141","0.0","25.7","-8.4","3.4","132","94","22","2","78","4","35","0","5","1","5","1","1",".381","25.7","86","1014228","124554"
"1936","Rip Radcliff","CHW","138","665","8","120","82","6",".112",".333",".335",".381",".447",".381","102","-0.7","1.5","-15.7","1.0","207","161","31","7","44","","12","2","","1","","6","3",".381","17.5","106","1010634","120870"
"1929","Mule Haas","PHA","139","656","16","115","82","0",".185",".315",".313",".356",".498",".381","114","-2.7","10.6","-4.5","2.9","181","115","41","9","34","","38","4","","40","","0","4",".381","15.5","106","1005173","115277"
"1980","Eddie Murray","BAL","158","683","32","100","116","7",".219",".294",".300",".354",".519",".381","138","0.5","31.3","-13.5","4.3","186","116","36","2","54","10","71","2","6","0","18","7","2",".381","32.1","109","1009386","119579"
"1944","Dave Hoskins","HG","51","192","3","31","41","2",".145","",".328",".349",".473",".381","115","0.2","4.0","-3.8","0.8","61","44","10","4","4","0","","2","","4","0","2","",".381","7.8","29","1006041","116167"
"1927","Clint Thomas","- - -","80","310","3","48","48","7",".138","",".302",".381",".440",".381","113","0.8","6.6","-6.5","1.1","83","57","17","6","32","","","3","","16","","7","",".381","9.3","49","1016550",""
"1913","Burt Shotton","SLB","147","655","1","105","28","43",".077",".334",".297",".405",".373",".381","132","2.4","26.4","-1.6","4.9","163","131","23","8","99","","63","1","","6","","43","",".381","25.9","97","1011933","122192"
"1915","Vic Saier","CHC","144","568","11","74","64","29",".181",".283",".264",".350",".445",".381","139","2.2","25.3","-9.3","4.1","131","74","35","11","64","","62","2","","5","","29","9",".381","24.3","83","1011372","121622"
"1962","Don Demeter","PHI","153","617","29","85","107","2",".213",".319",".307",".359",".520",".381","131","-2.4","21.6","-9.6","3.4","169","113","24","3","41","6","93","10","11","5","11","2","7",".381","29.1","101","1003193","113255"
"1894","Walt Wilmot","CHI","133","633","5","134","130","74",".141",".337",".330",".368",".471",".381","94","9.3","1.7","-16.2","0.9","197","135","45","12","35","","23","1","","","","74","",".381","1.6","118","1014056","124375"
"1970","Sal Bando","OAK","155","636","20","93","75","6",".167",".282",".263",".407",".430",".381","140","-2.5","27.6","7.6","5.7","132","90","20","2","118","5","88","6","3","7","12","6","10",".381","30.6","103","1000505","110526"
"1929","Halley Harding","KCM","74","339","0","64","34","13",".134","",".315",".383",".449",".381","118","2.1","10.5","4.6","2.4","96","64","23","9","34","","","0","","9","","13","",".381","8.0","55","1015347",""
"1956","Ted Kluszewski","CIN","138","574","35","91","102","1",".234",".265",".302",".362",".536",".381","128","0.5","20.1","-11.8","2.5","156","106","14","1","49","22","31","3","5","0","11","1","0",".381","25.3","92","1007020","117172"
"2006","Adam LaRoche","ATL","149","557","32","89","90","0",".276",".319",".285",".354",".561",".381","129","-0.8","20.1","-15.8","2.2","140","69","38","1","55","5","128","2","7","1","9","0","2",".381","23.6","94","1904","425560"
"2011","Giancarlo Stanton","FLA","150","601","34","79","87","5",".275",".314",".262",".356",".537",".381","141","-2.5","25.7","-3.9","4.2","135","66","30","5","70","6","166","9","6","0","11","5","5",".381","31.0","99","4949","519317"
"1947","Jackie Robinson","BRO","151","701","12","125","48","29",".131",".301",".297",".383",".427",".381","115","5.2","19.2","-8.5","3.5","175","127","31","5","74","","36","9","","28","5","29","",".381","24.1","107","1011070","121314"
"1993","Orlando Merced","PIT","137","527","8","68","70","3",".130",".350",".313",".414",".443",".381","132","-0.5","20.4","-4.8","3.4","140","102","26","4","77","10","64","1","2","0","9","3","3",".381","23.2","86","1393","118958"
"1965","Dick Allen","PHI","161","707","20","93","85","15",".192",".367",".302",".375",".494",".381","143","2.3","36.8","-3.1","6.3","187","122","31","14","74","6","150","2","6","6","13","15","2",".381","40.5","115","1000137","110157"
"1926","John Henry Russell","SLS","87","376","5","76","52","25",".133","",".308",".378",".441",".381","110","4.3","9.7","-5.3","1.7","104","77","14","8","34","","","4","","24","","25","",".381","10.7","58","1016319",""
"1986","George Brett","KCR","124","529","16","70","73","1",".190",".292",".290",".401",".481",".381","134","-0.6","21.3","-2.1","3.8","128","80","28","4","80","18","45","4","4","0","6","1","2",".381","25.4","86","1001400","111437"
"1929","Adam Comorosky","PIT","127","533","6","86","97","19",".140",".328",".321",".377",".461",".381","105","3.0","6.9","-1.2","2.3","152","109","26","11","40","","22","2","","18","","19","",".381","12.6","86","1002486","112541"
"1891","Herman Long","BSN","139","665","9","129","76","60",".125",".298",".282",".377",".407",".381","120","4.8","24.8","11.6","5.3","163","121","21","12","80","","51","8","","","","60","",".381","26.4","123","1007731","117890"
"1926","Edd Roush","CIN","144","631","7","95","79","8",".139",".325",".323",".366",".462",".381","124","0.5","20.0","-11.6","2.8","182","128","37","10","38","","17","0","","30","","8","",".381","17.9","98","1011247","121497"
"1937","Dick Bartell","NYG","128","580","14","91","62","5",".163",".310",".306",".367",".469",".381","127","0.4","20.6","27.9","6.6","158","104","38","2","40","","38","10","","14","9","5","",".381","18.4","94","1000621","110639"
"1948","Jim Pendleton","CAG","13","57","1","9","8","1",".132","",".321",".368",".453",".381","119","0.1","1.5","1.8","0.5","17","13","2","1","3","","","1","","1","","1","",".381","1.8","9","1016123",""
"1949","Andy Pafko","CHC","144","592","18","79","69","4",".168",".274",".281",".369",".449",".381","120","0.7","15.5","-7.0","2.8","146","97","29","2","63","","33","9","","1","17","4","",".381","17.3","88","1009948","120167"
"1899","Bobby Wallace","STL","151","638","12","91","108","17",".159","",".295",".357",".454",".381","116","-1.2","13.3","22.7","5.6","170","116","28","14","54","","","2","","5","","17","",".381","19.2","107","1013542","123864"
"2013","Matt Carpenter","STL","157","717","11","126","78","3",".163",".359",".318",".392",".481",".381","146","4.5","41.7","3.2","7.2","199","126","55","7","72","1","98","9","7","3","4","3","3",".381","37.8","116","8090","572761"
"1998","Mark Grace","CHC","158","698","17","92","89","4",".161",".316",".309",".401",".471",".381","130","-2.3","24.4","-12.5","3.3","184","125","39","3","93","8","56","3","7","0","17","4","7",".381","29.0","115","56","115007"
"2010","Prince Fielder","MIL","161","714","32","94","83","1",".209",".291",".261",".401",".471",".381","136","-6.6","24.0","-20.2","2.6","151","94","25","0","114","17","138","21","1","0","12","1","0",".381","34.3","116","4613","425902"
"1926","Freddy Leach","PHI","129","522","11","73","71","6",".154",".337",".329",".352",".484",".381","112","0.4","8.2","-3.1","2.2","162","115","29","7","16","","33","1","","13","","6","",".381","14.8","81","1007424","117579"
"1911","Fred Snodgrass","NYG","151","647","1","83","77","51",".094",".329",".294",".393",".388",".381","122","4.7","23.0","-2.7","4.2","157","119","27","10","72","","59","15","","26","","51","",".381","21.4","98","1012234","122492"
"1921","Ray Powell","BSN","149","699","12","114","74","6",".155",".340",".306",".369",".462",".381","120","-5.6","13.3","-3.7","3.4","191","136","25","18","58","","85","4","","13","","6","17",".381","20.9","110","1010495","120723"
"1943","Ameal Brooks","NYC","33","128","4","24","26","1",".186","",".265",".352",".451",".381","112","0.1","2.2","-4.4","0.3","30","18","7","1","15","","","0","0","1","","1","",".381","5.2","19","1014695",""
"1977","Gary Carter","MON","154","595","31","86","84","5",".241",".296",".284",".356",".525",".381","135","-0.6","24.7","7.7","5.3","148","86","29","2","58","5","103","5","7","3","9","5","5",".381","27.2","96","1002015","112061"
"1903","Socks Seybold","PHA","137","569","8","76","84","5",".163","",".299",".353",".462",".381","136","-2.6","21.7","-7.4","3.4","156","95","45","8","38","","","6","","3","","5","",".381","26.6","94","1011775","122031"
"1957","Don Hoak","CIN","149","616","19","78","89","8",".189",".296",".293",".381",".482",".381","127","-3.8","16.5","0.8","3.8","155","95","39","2","74","5","54","4","4","5","13","8","15",".381","29.9","99","1005866","115988"
"1901","Lave Cross","PHA","100","450","2","82","73","23",".137","",".328",".358",".465",".381","118","1.7","13.3","10.1","3.8","139","97","28","12","19","","","1","","6","","23","",".381","18.9","78","1002808","112867"
"1922","Harry Hooper","CHW","152","685","11","111","80","16",".140",".308",".304",".379",".444",".381","115","-1.5","12.9","-0.4","3.5","183","129","35","8","68","","33","5","","10","","16","12",".381","19.0","108","1006002","116127"
"2022","Nolan Arenado","STL","148","620","30","73","103","5",".241",".290",".293",".358",".533",".381","151","-1.6","35.3","13.3","7.3","163","90","42","1","52","3","72","7","4","0","15","5","3",".381","35.1","106","9777","571448"
"1956","Wally Moon","STL","149","622","16","86","68","12",".170",".306",".298",".390",".469",".381","132","-0.8","22.7","-8.7","3.2","161","112","22","11","80","7","50","1","0","1","13","12","9",".381","27.3","99","1009085","119279"
"1929","Fresco Thompson","PHI","148","715","4","115","53","16",".095",".338",".324",".398",".419",".381","98","1.9","0.2","-10.4","1.3","202","154","41","3","75","","34","1","","16","","16","",".381","16.8","116","1013008","123295"
"1976","George Brett","KCR","159","705","7","94","67","21",".129",".341",".333",".377",".462",".381","144","-0.1","32.7","9.0","7.0","215","160","34","14","49","4","36","1","8","2","8","21","11",".381","33.8","108","1001400","111437"
"1933","Heinie Manush","WAS","153","704","5","115","95","6",".123",".340",".336",".372",".459",".381","119","-0.9","17.2","-2.5","4.1","221","167","32","17","36","","18","2","","8","","6","4",".381","27.9","111","1008089","118265"
"1879","King Kelly","CIN","77","353","2","78","47","",".145",".359",".348",".363",".493",".381","162","0.0","31.0","0.9","4.0","120","86","20","12","8","","14","","","","","","",".381","29.7","79","1006806","116953"
"1937","Rip Radcliff","CHW","144","643","4","105","79","6",".120",".335",".325",".383",".445",".381","106","0.0","6.2","-4.0","2.5","190","138","38","10","53","","25","2","","4","","6","1",".381","20.3","104","1010634","120870"
